circuito_id,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA
00001,2614,6528,35480,33819,29082
00002,1808,4661,26173,27166,23181
00003,3130,10728,38990,54702,48363
00004,2322,8198,37117,45724,44980
00005,2475,8828,32008,46382,46898
00006,1591,5069,24314,26325,24243
00007,2975,8381,32007,53192,49552
00008,2423,6311,26422,35042,31632
00009,2931,7607,29862,38931,44553
00010,3073,10863,31369,42975,46837
00011,1736,4159,16403,20848,21839
00012,1379,5763,18818,21927,24701
00013,1204,4238,14022,17233,18272
00014,1620,4364,17741,24614,22270
00015,1324,3508,16377,21141,24431
00016,1068,2349,12376,13029,14579
00017,2647,7228,32602,32440,38459
00018,2578,4309,21905,24860,30558
00019,4647,5748,24623,34293,54277
0001A,168,663,3337,3327,2002
0001B,29,258,822,1036,724
0001C,71,569,1625,2361,1737
0001D,62,436,1389,2127,2049
0001E,92,359,1125,1588,1075
0001F,113,572,2716,2836,1384
0001G,99,572,1856,2785,1436
0001H,105,1064,1114,4755,5085
0001I,145,1161,1262,5663,5606
0001J,14,101,228,484,374
0001K,25,249,482,948,612
0001L,126,1140,1587,4441,4053
0001M,100,889,1411,3398,2824
0001N,116,1174,1384,4668,4378
0001O,16,186,415,670,530
0001P,234,2503,2589,10203,8624
0001Q,2,11,17,29,55
0001R,1,1,3,8,16
0001S,1,3,3,18,57
0001T,1,4,11,20,114
0001U,0,3,13,12,71
0001V,4,7,23,58,168
0001W,2,2,10,26,68
0001X,1,2,6,6,22
00020,2085,3396,20431,21037,29064
00021,3619,5298,28582,39631,54050
00022,3547,6328,24971,32345,37178
00023,1547,3455,22212,20718,28039
00024,1244,3115,18231,19250,23909
00025,1686,3716,18913,18900,20970
00026,1517,5221,21199,18318,20992
00027,2710,4016,22133,28972,31521
00028,1924,8089,21987,25358,22219
00029,1349,5485,17545,22080,19846
0002A,653,1928,8674,13083,16981
0002B,118,573,1203,2720,2056
0002C,154,938,2084,4440,3320
0002D,308,1420,2230,6406,4000
0002E,27,92,335,509,293
0002F,90,356,865,1854,1104
0002G,176,606,1317,2990,1927
0002H,32,123,355,630,390
0002I,189,552,844,2935,2156
0002J,150,531,863,2727,2361
0002K,96,383,644,1944,1227
0002L,85,342,527,1352,1331
0002M,151,464,885,2902,2088
0002N,105,410,605,2270,1517
0002O,197,543,695,3528,2675
0002P,121,379,557,2247,1601
0002Q,222,707,1083,4341,3247
00030,2339,5630,19087,28314,28950
00031,2588,4569,16192,30931,24395
00032,2573,4784,27233,43040,46270
00033,1659,7411,18816,24781,18306
00034,3545,8618,26528,40925,49024
00035,1293,5752,7744,14424,11363
00036,2236,4276,17623,29968,39096
00037,2367,6363,19045,23616,30625
00038,2113,4630,16398,19846,28227
00039,2683,3252,18537,24257,43918
0003A,786,2230,6247,14251,12306
0003B,419,1424,2867,7111,4565
0003C,211,687,1175,3835,2291
0003D,156,452,840,2432,1490
0003E,94,306,836,1485,985
0003F,103,368,830,1724,1174
0003G,216,702,1402,3392,1909
0003H,102,400,1224,2064,1200
0003I,362,967,1081,6169,4653
0003J,79,221,201,1380,946
0003K,94,380,1839,2395,1048
0003L,121,666,1201,3038,1376
00040,3628,8478,33710,34574,46684
00041,1974,8539,19858,28589,30829
00042,1655,2893,10533,16270,20590
00043,2349,3252,15479,26761,40086
00044,1861,9943,18465,38441,48330
00045,907,2836,12214,16428,19636
00046,1673,3099,13376,15568,16094
00047,1815,2990,12518,22350,25041
00048,3391,6202,29924,43836,43675
00049,1194,2539,15546,18791,26495
0004A,1150,5563,12577,23582,21101
0004B,418,2619,5825,7097,8291
0004C,108,1430,1484,2394,1216
0004D,278,959,1859,4170,2746
0004E,48,1027,181,1028,209
0004F,36,1302,196,851,369
00050,1569,2102,10918,14418,18358
00051,1181,2030,8387,13991,13900
00052,942,1334,7124,11407,22542
00053,2115,3962,14323,29736,30864
00054,1774,3211,11570,21195,26913
00055,879,2615,10730,13681,16740
00056,1205,4503,9536,17346,19439
00057,2074,4136,17629,25869,24050
00058,2557,5188,20769,30712,30827
00059,1489,2689,16154,19729,19816
0005A,1000,3954,17770,20824,17362
0005B,534,1582,12132,12260,11680
0005C,710,5372,10735,14694,9786
0005D,415,5134,2468,7158,3477
0005E,457,2359,1647,8362,6896
0005F,266,2610,1083,5151,4098
0005G,400,3782,4528,7509,3117
0005H,102,1176,767,1743,1010
0005I,312,2885,2379,6246,3140
0005J,19,75,304,460,200
0005K,58,237,558,1073,562
0005L,182,685,1065,3398,1973
0005M,78,350,923,1762,710
0005N,311,636,607,4600,4429
0005O,66,146,191,1287,916
00060,3085,6153,33974,39871,45150
00061,1311,3747,15206,21482,23390
00062,930,2004,10395,15677,23602
00063,2223,3209,13054,20678,21250
00064,1717,2469,12760,16891,22492
00065,1724,2711,12907,21090,27074
00066,1606,2820,11968,20127,22002
00067,1276,2412,16703,20125,29789
00068,924,1239,9033,8597,13912
00069,3619,5419,31001,40838,36029
0006A,190,622,901,3447,2224
0006B,2,106,37,94,93
0006C,218,1582,3488,2533,1624
0006D,134,911,1759,1277,968
0006E,36,1268,110,459,186
0006F,91,2426,981,1821,685
00070,2521,5239,22254,31213,32822
00071,1274,1584,14627,12163,24865
00072,1444,3423,15849,21934,30373
00073,1587,2058,12405,11455,15761
00074,2198,3275,19072,19325,25528
00075,1283,2231,10246,15069,21190
00076,2074,2424,14583,17322,19216
00077,1557,4348,16402,25575,42109
00078,987,2581,11054,16910,19997
00079,1236,2662,11043,14422,18024
0007A,586,3480,9586,12928,13430
0007B,1120,5077,16119,19890,28566
0007C,689,988,2776,10251,17613
0007D,168,1236,2538,2074,1414
0007E,275,3744,2986,4143,1847
0007F,90,2093,1274,2002,665
0007G,164,3252,1976,3181,1179
00080,1195,2884,15853,23209,26267
00081,886,1517,9487,13603,16790
00082,832,1924,9597,14049,20035
00083,1647,2935,17675,17662,20456
00084,1605,2752,16999,21665,19271
00085,1142,1493,11539,10401,11265
00086,2405,3546,17808,23888,25876
00087,1821,2087,9243,14541,20063
00088,990,2831,11489,14858,17584
00089,3190,17184,32559,42100,40640
0008A,629,2902,8322,15355,18373
0008B,831,5511,9706,18353,18499
0008C,324,2740,3820,11411,9010
00090,1940,6771,17911,19839,22841
